"(3,2)",,,,,,,,,,,,,
locked,wall,door,wall,,,,,,,,,,
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
wall,darkB,darkB,darkB,darkB,darkB,blueB,blueB,darkB,darkB,darkB,darkB,darkB,wall
wall,darkB,blueB,blueB,blueB,darkB,blueB,blueB,blueB,blueB,darkB,blueB,darkB,wall
wall,darkB,blueB,darkB,blueB,darkB,blueB,darkB,darkB,blueB,darkB,blueB,darkB,wall
empty,blueB,blueB,darkB,blueB,darkB,blueB,blueB,darkB,blueB,darkB,blueB,blueB,empty
wall,darkB,blueB,darkB,blueB,darkB,darkB,blueB,darkB,blueB,darkB,blueB,darkB,wall
wall,darkB,blueB,darkB,blueB,blueB,blueB,blueB,darkB,blueB,blueB,blueB,darkB,wall
wall,darkB,darkB,darkB,darkB,darkB,blueB,blueB,darkB,darkB,darkB,darkB,darkB,wall
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
"skeleton(2,4)","skeleton(11,2)","skeleton(8,2)",,,,,,,,,,,
