"(2,4)",,,,,,,,,,,,,
locked,shut,wall,wall,,,,,,,,,,
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,wall
empty,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,empty
wall,blueB,blueB,blueB,blueB,blueB,blueT,blueT,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,blueB,wall
wall,wall,wall,wall,wall,wall,empty,empty,wall,wall,wall,wall,wall,wall
"bat(2,2)","bat(1,4)","bat(2,6)","bat(9,1)","bat(4,5)","bat(9,7)",,,,,,,,
